,created_at,id,text,language
105,Sat May 01 23:58:53 +0000 2021,1.3886441243253023e+18,"@AsthanaAuthor Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
106,Sat May 01 23:58:53 +0000 2021,1.388644123964416e+18,RT @AAPublishingLLC: NOW in Audio! A Christmas Eve in Captain’s Point written by @CharlotteKent20 and narrated by @lisaleslievoice https://…,en
107,Sat May 01 23:58:47 +0000 2021,1.3886440976200704e+18,"Racism Is A Public Health Crisis T-Shirt
BUY HERE👉https://t.co/QcVTTwkrHy https://t.co/6nm3axdvcj",en
108,Sat May 01 23:58:45 +0000 2021,1.3886440919914127e+18,"@PancakeAuthor Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
109,Sat May 01 23:58:45 +0000 2021,1.3886440893111583e+18,"Source:https://t.co/Bh2C79Wk9k Check out this Product made for Sports like #Basketball,#Football, and #Boxing … the… https://t.co/U9s3qUtXtA",en
110,Sat May 01 23:58:44 +0000 2021,1.388644087054672e+18,".@ThomasRhett is back with his latest album, ""Country Again Side A"". A representation of a life lived in recent yea… https://t.co/2pt2zeOMJX",en
111,Sat May 01 23:58:37 +0000 2021,1.3886440567171645e+18,@WarlusTrades Why would you buy $NFLX instead of $FB or $AMZN or $GOOG? This doesn't make any sense.,en
112,Sat May 01 23:58:33 +0000 2021,1.3886440393570427e+18,"@laliaristo Infinite Wisdom 
https://t.co/adBjjZivsw
Infinite Wisdom  II
https://t.co/LqJt0RmXZe
The Fight Within
https://t.co/d2IqjLrQT4",en
113,Sat May 01 23:58:30 +0000 2021,1.3886440255492628e+18,@LetsPlayPreK @amazon My lowest cost items are for Summer school...colored chalk (1.45) 19 left :) All items will g… https://t.co/OARhHMJbKM,en
114,Thu Apr 29 19:00:02 +0000 2021,1.387844140403204e+18,"The truth won't suffice, he will have to fight for it!

Meet #VakeelSaabOnPrime now: https://t.co/N3YOfvkBDd… https://t.co/nOc40hYOTn",en
115,Fri Apr 30 23:59:53 +0000 2021,1.3882819858655928e+18,RT @bernardfoong: A Harem Boy’s Saga; a memoir by Young (a 5-book series)  https://t.co/eP1KBF0BxI is a sensually captivating true story ab…,en
116,Fri Apr 30 23:59:52 +0000 2021,1.3882819825058652e+18,"RT @AuthorTirrell: On February 14, 1241, a dark horde destroyed the city of Sandomierz, Poland. A sole survivor manages to escape, ladened…",en
117,Fri Apr 30 23:59:52 +0000 2021,1.388281982254203e+18,"RT @BandaiAmerica: You can now pre-order Digimon X, the ultimate Digimon device! With 107 new Digimon to train and battle, new facial expre…",en
118,Fri Apr 30 23:59:51 +0000 2021,1.3882819796368302e+18,@S_B_Hammock No place is as intimate as where you confess your sins. A former nun and a lawyer turned priest strugg… https://t.co/vRlPFtNz99,en
119,Fri Apr 30 23:59:42 +0000 2021,1.3882819420853084e+18,"RT @masonmalonecom: A coming of age story.

Four high school friends and a songwriter contest.

LA is another world.  Hollywood, celebritie…",en
120,Fri Apr 30 23:59:40 +0000 2021,1.3882819321868902e+18,"RT @papriddey: Josh Sheppard and the Island of Death
New release 
https://t.co/EIl4VTpoEG
https://t.co/PRIeZxNCkN
#Fantasy
#bookboost
#Auth…",en
121,Fri Apr 30 23:59:36 +0000 2021,1.388281916370137e+18,"RT @WhatTheDadSaid: [AD-GIFTED] Time for #WinItWednesday!

* Follow @whatthedadsaid and RT to win Guardians of the Galaxy Vol. 2 DVD https:…",en
122,Fri Apr 30 23:59:36 +0000 2021,1.3882819154892227e+18,RT @BeeCallaway: @wipehandsclean @_krisveitch Found it on Amazon  https://t.co/DfEZXif2Yj,en
123,Fri Apr 30 23:59:30 +0000 2021,1.3882818904995963e+18,"Amazon (uk): Stock changed from ""In stock."" to ""Available from these sellers."" at 01:59:30.150+02:00… https://t.co/OfIzUESwS5",en
124,Fri Apr 30 23:59:28 +0000 2021,1.3882818807771996e+18,"Source:https://t.co/3kc8IDGcpS , Perfect Doll for a young Afro-American girl … Dolls that looks like US #ikuzidolls… https://t.co/7PCZcg2Tpt",en
125,Fri Apr 30 23:59:24 +0000 2021,1.3882818673595064e+18,"RT @FatKidDeals: 38mm Apple Watch starting at $126!
*open box return with warranty!
https://t.co/llq7sEscz3 https://t.co/ybibG3r4vj",en
126,Fri Apr 30 23:59:17 +0000 2021,1.388281835231187e+18,"“If we don’t address poor behavior, we’re encouraging it through our inaction.” ~ Frank Sonnenberg https://t.co/h3J2B8YBJe #BookSmart",en
127,Fri Apr 30 23:59:11 +0000 2021,1.388281811093033e+18,@rina__kay Oh no! We're really sorry to hear this. You should be able to start your return or refund here:… https://t.co/XXr3EHRmZ6,en
128,Fri Apr 30 23:59:04 +0000 2021,1.3882817820517376e+18,"RT @AlexHoushan: Can you pick me up🙈….?
Retweet = yes
.
My Spiderman shirt🕷👇🏻

https://t.co/twSwA7iVyL https://t.co/z1u2dIsqHQ",en
